진료년도,시도,시군구,성별,연령구분,환자수,입내원일수,요양급여비용
2018,서울,영등포구,여,90~99세,323,17490,1343208250
2018,서울,영등포구,여,100세 이상,0,0,0
2018,서울,용산구,남,0~9세,0,0,0
2018,서울,용산구,남,10~19세,0,0,0
2018,서울,용산구,남,20~29세,0,0,0
2018,서울,용산구,남,30~39세,0,0,0
2018,서울,용산구,남,40~49세,0,0,0
2018,서울,용산구,남,50~59세,10,42,2162820
2018,서울,용산구,남,60~69세,26,88,5606890
2018,서울,용산구,남,70~79세,97,406,35451770
2018,서울,용산구,남,80~89세,119,449,25861440
2018,서울,용산구,남,90~99세,19,85,3051900
2018,서울,용산구,남,100세 이상,0,0,0
2018,서울,용산구,여,0~9세,0,0,0
2018,서울,용산구,여,10~19세,0,0,0
2018,서울,용산구,여,20~29세,0,0,0
2018,서울,용산구,여,30~39세,0,0,0
2018,서울,용산구,여,40~49세,0,0,0
2018,서울,용산구,여,50~59세,14,36,3512250
2018,서울,용산구,여,60~69세,40,139,10286410
2018,서울,용산구,여,70~79세,192,766,43804360
2018,서울,용산구,여,80~89세,343,1334,71994270
2018,서울,용산구,여,90~99세,109,446,12188680
2018,서울,용산구,여,100세 이상,0,0,0
2018,서울,은평구,남,0~9세,0,0,0
2018,서울,은평구,남,10~19세,0,0,0
2018,서울,은평구,남,20~29세,0,0,0
2018,서울,은평구,남,30~39세,0,0,0
2018,서울,은평구,남,40~49세,0,0,0
2018,서울,은평구,남,50~59세,13,116,10664530
2018,서울,은평구,남,60~69세,80,1328,102498630
2018,서울,은평구,남,70~79세,485,6393,489476510
2018,서울,은평구,남,80~89세,532,12637,1058376700
2018,서울,은평구,남,90~99세,87,1577,140436250
2018,서울,은평구,남,100세 이상,0,0,0
2018,서울,은평구,여,0~9세,0,0,0
2018,서울,은평구,여,10~19세,0,0,0
2018,서울,은평구,여,20~29세,0,0,0
2018,서울,은평구,여,30~39세,0,0,0
2018,서울,은평구,여,40~49세,0,0,0
2018,서울,은평구,여,50~59세,17,384,26033410
2018,서울,은평구,여,60~69세,157,2058,177523960
2018,서울,은평구,여,70~79세,791,13446,1068351260
2018,서울,은평구,여,80~89세,1387,38134,2974074310
2018,서울,은평구,여,90~99세,419,15383,1177677860
2018,서울,은평구,여,100세 이상,0,0,0
2018,서울,종로구,남,0~9세,0,0,0
2018,서울,종로구,남,10~19세,0,0,0
2018,서울,종로구,남,20~29세,0,0,0
2018,서울,종로구,남,30~39세,0,0,0
2018,서울,종로구,남,40~49세,0,0,0
2018,서울,종로구,남,50~59세,29,94,14609550
2018,서울,종로구,남,60~69세,166,597,61955940
2018,서울,종로구,남,70~79세,589,2244,225659920
2018,서울,종로구,남,80~89세,558,2473,210723170
2018,서울,종로구,남,90~99세,79,587,48036330
2018,서울,종로구,남,100세 이상,0,0,0
2018,서울,종로구,여,0~9세,0,0,0
2018,서울,종로구,여,10~19세,0,0,0
2018,서울,종로구,여,20~29세,0,0,0
