년도,시도,시군구,성별,환자수,입내원일수,요양급여비용
2018, 전북 , 김제시 , 남 ,592,45366,3392793370
2018, 전북 , 김제시 , 여 ,1195,86315,6339551400
2018, 전남 , 강진군 , 남 ,279,7396,612180390
2018, 전남 , 강진군 , 여 ,803,26014,2123003910
2018, 전남 , 고흥군 , 남 ,422,5817,408442070
2018, 전남 , 고흥군 , 여 ,1069,15322,1058384120
2018, 전남 , 곡성군 , 남 ,139,2772,183511050
2018, 전남 , 곡성군 , 여 ,443,15870,1050993940
2018, 전남 , 구례군 , 남 ,263,21837,1603608080
2018, 전남 , 구례군 , 여 ,671,84182,6182292290
2018, 전남 , 담양군 , 남 ,297,11806,797775110
2018, 전남 , 담양군 , 여 ,806,27025,1865750250
2018, 전남 , 무안군 , 남 ,387,9734,708743250
2018, 전남 , 무안군 , 여 ,1066,52333,3783606040
2018, 전남 , 보성군 , 남 ,317,23171,1684558070
2018, 전남 , 보성군 , 여 ,1084,124002,8995433460
2018, 전남 , 신안군 , 남 ,84,4917,339760620
2018, 전남 , 신안군 , 여 ,266,20736,1443915800
2018, 전남 , 영광군 , 남 ,395,4492,332443520
2018, 전남 , 영광군 , 여 ,1062,18013,1136039480
2018, 전남 , 영암군 , 남 ,313,13470,960598040
2018, 전남 , 영암군 , 여 ,881,42561,2998217720
2018, 전남 , 완도군 , 남 ,58,328,8432560
2018, 전남 , 완도군 , 여 ,239,1184,28799570
2018, 전남 , 장성군 , 남 ,234,15921,1143341080
2018, 전남 , 장성군 , 여 ,717,47527,3385234760
2018, 전남 , 장흥군 , 남 ,186,1118,29859590
2018, 전남 , 장흥군 , 여 ,562,4073,93350030
2018, 전남 , 진도군 , 남 ,44,769,46051980
2018, 전남 , 진도군 , 여 ,202,6636,411228290
2018, 전남 , 함평군 , 남 ,146,8852,669640410
2018, 전남 , 함평군 , 여 ,426,30330,2269289630
2018, 전남 , 해남군 , 남 ,745,9049,719896370
2018, 전남 , 해남군 , 여 ,2013,31309,2303210780
2018, 전남 , 화순군 , 남 ,560,31577,2322514640
2018, 전남 , 화순군 , 여 ,1383,98217,7313701510
2018, 전남 , 나주시 , 남 ,818,84870,6267858190
2018, 전남 , 나주시 , 여 ,2166,273181,19973970170
2018, 전남 , 목포시 , 남 ,1383,66108,4817829890
2018, 전남 , 목포시 , 여 ,3685,294920,21489993190
2018, 전남 , 순천시 , 남 ,1225,38476,2909177170
2018, 전남 , 순천시 , 여 ,3313,168374,12681853240
2018, 전남 , 여수시 , 남 ,975,35635,2589749950
2018, 전남 , 여수시 , 여 ,2675,154162,11356919880
2018, 전남 , 광양시 , 남 ,320,15915,1107409330
2018, 전남 , 광양시 , 여 ,1077,60038,4073309970
2018, 경북 , 고령군 , 남 ,110,3588,223703920
2018, 경북 , 고령군 , 여 ,292,12409,778275260
2018, 경북 , 군위군 , 남 ,70,390,16255460
2018, 경북 , 군위군 , 여 ,131,615,20244480
2018, 경북 , 봉화군 , 남 ,137,5754,379945430
2018, 경북 , 봉화군 , 여 ,412,20977,1408527100
2018, 경북 , 성주군 , 남 ,180,16674,1206010430
2018, 경북 , 성주군 , 여 ,610,84929,6287522740
2018, 경북 , 영덕군 , 남 ,156,4837,335490030
2018, 경북 , 영덕군 , 여 ,412,19665,1401812820
2018, 경북 , 영양군 , 남 ,45,206,2877400
2018, 경북 , 영양군 , 여 ,118,630,7467370
2018, 경북 , 예천군 , 남 ,193,8515,589880070
2018, 경북 , 예천군 , 여 ,567,41112,3026249310
2018, 경북 , 울릉군 , 남 ,11,33,4417050
2018, 경북 , 울릉군 , 여 ,28,696,43042290
2018, 경북 , 울진군 , 남 ,130,1989,121675640
2018, 경북 , 울진군 , 여 ,405,10602,669762790
2018, 경북 , 의성군 , 남 ,380,15310,982046200
2018, 경북 , 의성군 , 여 ,924,59084,3987410920
2018, 경북 , 청도군 , 남 ,337,6282,454081890
2018, 경북 , 청도군 , 여 ,877,16128,1074102650
2018, 경북 , 청송군 , 남 ,69,212,4184130
2018, 경북 , 청송군 , 여 ,168,653,15772850
2018, 경북 , 칠곡군 , 남 ,354,24895,1745510570
2018, 경북 , 칠곡군 , 여 ,912,67247,4649219700
2018, 경북 , 경주시 , 남 ,1013,58859,4350306150
2018, 경북 , 경주시 , 여 ,2607,243915,17968091270
2018, 경북 , 구미시 , 남 ,999,31885,2314677960
2018, 경북 , 구미시 , 여 ,2955,120439,8570663080
2018, 경북 , 김천시 , 남 ,606,24022,1698416610
2018, 경북 , 김천시 , 여 ,1571,74324,5267754550
2018, 경북 , 안동시 , 남 ,1489,58517,4401682260
2018, 경북 , 안동시 , 여 ,3475,155526,11438592300
2018, 경북 , 영주시 , 남 ,501,22097,1577124780
2018, 경북 , 영주시 , 여 ,1224,59953,4318594400
2018, 경북 , 영천시 , 남 ,632,15780,1146870280
2018, 경북 , 영천시 , 여 ,1357,54191,3899859570
2018, 경북 , 포항남구 , 남 ,848,17183,1239722120
2018, 경북 , 포항남구 , 여 ,2228,85874,6319967690
2018, 경북 , 포항북구 , 남 ,1003,105186,7715159320
2018, 경북 , 포항북구 , 여 ,2820,375612,27909066480
2018, 경북 , 문경시 , 남 ,498,9024,660615350
2018, 경북 , 문경시 , 여 ,1184,24755,1656083610
2018, 경북 , 상주시 , 남 ,298,12844,936494890
2018, 경북 , 상주시 , 여 ,708,41096,3035315660
2018, 경북 , 경산시 , 남 ,1323,51964,3757716180
2018, 경북 , 경산시 , 여 ,3082,161322,11736124830
2018, 경남 , 거창군 , 남 ,334,12218,814590060
2018, 경남 , 거창군 , 여 ,1063,44324,2993186160
2018, 경남 , 고성군 , 남 ,372,20381,1458928850
2018, 경남 , 고성군 , 여 ,1110,57280,4099241600
2018, 경남 , 남해군 , 남 ,272,4800,265639650
2018, 경남 , 남해군 , 여 ,818,18749,1075175100
2018, 경남 , 산청군 , 남 ,111,392,3887400
2018, 경남 , 산청군 , 여 ,322,1192,12362780
2018, 경남 , 의령군 , 남 ,178,13350,924692650
2018, 경남 , 의령군 , 여 ,506,41717,2962440240
2018, 경남 , 창녕군 , 남 ,278,21651,1561100780
2018, 경남 , 창녕군 , 여 ,821,91982,6605847930
2018, 경남 , 하동군 , 남 ,292,3828,270132670
2018, 경남 , 하동군 , 여 ,776,10345,716056210
2018, 경남 , 함안군 , 남 ,315,14377,1079624230
